2024-12-09T02:11:52Z WARNING device.log             Dropping state update until config received...
2024-12-09T02:11:52Z WARNING device.log             Received config for config latch AHU-1
2024-12-09T02:12:20Z DEBUG   device.log             State update defer 1994ms
2024-12-09T02:12:22Z DEBUG   device.log             State update defer 730ms
2024-12-09T02:12:22Z DEBUG   device.log             State update defer 0ms
2024-12-09T02:12:22Z INFO    device.log             Update state 2024-12-09T02:12:22Z last_config 2024-12-09T02:12:20Z
2024-12-09T02:12:22Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:30Z INFO    device.log             Discovery scan starting vendor generation 2024-12-09T02:12:30Z
2024-12-09T02:12:30Z DEBUG   device.log             Scheduling future in 9999ms
2024-12-09T02:12:30Z DEBUG   device.log             State update defer -5219ms
2024-12-09T02:12:30Z INFO    device.log             Update state 2024-12-09T02:12:30Z last_config 2024-12-09T02:12:20Z
2024-12-09T02:12:30Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:30Z INFO    device.log             Discovered vendor device 20231 for gen 2024-12-09T02:12:30Z
2024-12-09T02:12:30Z DEBUG   device.log             State update defer 1998ms
2024-12-09T02:12:30Z INFO    device.log             Discovered vendor device 28179023 for gen 2024-12-09T02:12:30Z
2024-12-09T02:12:30Z DEBUG   device.log             State update defer 1991ms
2024-12-09T02:12:30Z INFO    device.log             Discovered vendor device 0x65 for gen 2024-12-09T02:12:30Z
2024-12-09T02:12:30Z DEBUG   device.log             State update defer 1990ms
2024-12-09T02:12:32Z DEBUG   device.log             State update defer 0ms
2024-12-09T02:12:32Z INFO    device.log             Update state 2024-12-09T02:12:32Z last_config 2024-12-09T02:12:20Z
2024-12-09T02:12:32Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:41Z NOTICE  validation.feature.sequence Sequence complete
