2024-12-20T08:32:33Z NOTICE  system.config.apply    success
2024-12-20T08:32:33Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:34Z DEBUG   system.config.receive  success
2024-12-20T08:32:34Z DEBUG   device.log             State update defer 813ms
2024-12-20T08:32:34Z DEBUG   system.config.parse    success
2024-12-20T08:32:34Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:32:34Z DEBUG   device.log             State update defer 812ms
2024-12-20T08:32:34Z DEBUG   device.log             Config update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:34Z INFO    device.log             2024-12-20T08:32:34Z received config 2024-12-20T08:32:34Z
2024-12-20T08:32:34Z DEBUG   device.log             State update defer 811ms
2024-12-20T08:32:34Z NOTICE  system.config.apply    success
2024-12-20T08:32:34Z DEBUG   device.log             State update defer 811ms
2024-12-20T08:32:34Z DEBUG   device.log             State update defer 811ms
2024-12-20T08:32:35Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:32:35Z INFO    device.log             Update state 2024-12-20T08:32:35Z last_config 2024-12-20T08:32:34Z
2024-12-20T08:32:35Z DEBUG   device.log             State update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:37Z WARNING validation.feature.sequence No functional alternate registry defined
